City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,port lincoln,-34.7333,135.8667,15.28,81,0,3.93,AU,1675102511
121,north branch,45.5113,-92.9802,-16.66,53,12,4.25,US,1675102726
122,clyde river,70.4692,-68.5914,-29.87,69,75,3.6,CA,1675102727
123,abu samrah,35.3029,37.1841,9.6,73,96,4.25,SY,1675102727
124,yellowknife,62.456,-114.3525,-31.71,75,20,3.6,CA,1675102552
125,hami,42.8,93.45,-4.71,27,99,0.95,CN,1675102728
126,healdsburg,38.6105,-122.8692,10.12,38,0,2.57,US,1675102729
127,guerrero negro,27.9769,-114.0611,15.55,58,92,2.86,MX,1675102599
128,tucuman,-26.8241,-65.2226,25.0,83,75,3.6,AR,1675102478
129,catalina,32.5056,-110.9211,14.16,42,0,0.45,US,1675102730
130,mineiros,-17.5694,-52.5511,25.92,66,75,2.95,BR,1675102730
131,shache,38.4167,77.2406,-6.01,77,97,1.65,CN,1675102731
132,longyan,25.1072,117.0225,6.77,61,0,0.56,CN,1675102731
133,esperance,-33.8667,121.9,19.52,77,37,2.99,AU,1675102732
134,bengkulu,-3.8004,102.2655,23.74,93,100,2.55,ID,1675102732
135,arman,59.7,150.1667,-13.96,77,100,5.27,RU,1675102733
136,khatanga,71.9667,102.5,-44.07,100,57,0.22,RU,1675102733
137,ankara,39.9199,32.8543,0.67,87,100,2.06,TR,1675102734
138,saint-paul,-21.0096,55.2707,27.06,85,81,3.45,RE,1675102734
139,port blair,11.6667,92.75,27.02,69,40,1.54,IN,1675102735
140,tuatapere,-46.1333,167.6833,14.61,94,92,1.66,NZ,1675102735
141,bunbury,-33.3333,115.6333,17.63,75,7,6.61,AU,1675102736
142,avarua,-21.2078,-159.775,26.03,73,75,6.69,CK,1675102556
143,kilrush,52.6397,-9.4833,8.86,88,100,6.13,IE,1675102737
144,sasaram,24.951,84.0149,15.33,44,41,2.09,IN,1675102738
145,mount isa,-20.7333,139.5,25.87,78,75,3.09,AU,1675102738
146,brae,60.3964,-1.353,3.09,62,99,4.66,GB,1675102739
147,pingzhuang,42.0372,119.2889,-8.9,75,0,1.35,CN,1675102740
148,acapulco,16.8634,-99.8901,29.9,66,20,2.57,MX,1675102594
149,kudahuvadhoo,2.6708,72.8944,27.01,70,94,2.35,MV,1675102587
150,piopio,-38.4667,175.0167,17.83,81,100,2.93,NZ,1675102740
151,tuktoyaktuk,69.4541,-133.0374,-37.0,67,20,1.03,CA,1675102613
152,nizhnevartovsk,60.9344,76.5531,-8.99,86,100,4.02,RU,1675102742
153,mazeikiai,56.3167,22.3333,2.66,83,97,6.67,LT,1675102744
154,henties bay,-22.116,14.2845,18.62,77,9,5.21,NA,1675102745
155,te anau,-45.4167,167.7167,14.28,88,89,0.74,NZ,1675102746
156,barstow,34.8986,-117.0228,7.87,68,33,2.38,US,1675102749
157,saint george,37.1041,-113.5841,1.35,74,100,2.57,US,1675102336
158,chuy,-33.6971,-53.4616,27.66,58,61,4.82,UY,1675102753
159,santa maria,-29.6842,-53.8069,35.48,21,0,3.8,BR,1675102567
160,torbay,47.6666,-52.7314,6.88,94,100,11.83,CA,1675102670
161,geraldton,-28.7667,114.6,21.23,88,2,2.06,AU,1675102486
162,jatiroto,-7.8833,111.1167,23.47,93,100,0.74,ID,1675102759
163,nanortalik,60.1432,-45.2371,-4.12,78,99,2.53,GL,1675102561
164,carballo,43.213,-8.691,9.37,81,23,1.99,ES,1675102762
165,malbork,54.0359,19.0266,3.25,84,93,6.61,PL,1675102765
166,bima,-8.4667,118.7167,24.78,91,100,1.1,ID,1675102766
167,daura,11.5538,11.4085,29.7,13,54,3.28,NG,1675102766
168,faanui,-16.4833,-151.75,26.97,76,100,5.65,PF,1675102500
169,beatrice,40.2681,-96.747,-9.9,48,100,2.57,US,1675102768
170,provideniya,64.3833,-173.3,-0.78,99,100,1.67,RU,1675102769
171,sao joao da barra,-21.6403,-41.0511,30.05,82,99,8.3,BR,1675102770
172,marawi,7.9986,124.2928,20.17,96,92,0.5,PH,1675102773
173,mehran,33.1222,46.1646,15.56,63,45,7.19,IR,1675102774
174,stokmarknes,68.5646,14.9108,-1.02,100,40,1.54,NO,1675102776
175,port macquarie,-31.4333,152.9167,21.05,94,98,1.77,AU,1675102777
176,wichita falls,33.9137,-98.4934,-5.93,79,100,7.2,US,1675102781
177,antofagasta,-23.65,-70.4,21.6,69,85,4.14,CL,1675102782
178,arraial do cabo,-22.9661,-42.0278,30.98,62,40,9.26,BR,1675102575
179,santa cruz del norte,23.1539,-81.9236,26.98,58,3,5.8,CU,1675102783
180,pevek,69.7008,170.3133,-10.26,91,100,0.58,RU,1675102583
181,gambo,4.6482,22.2633,28.3,32,47,0.6,CF,1675102784
182,kruisfontein,-34.0033,24.7314,18.33,73,84,7.87,ZA,1675102785
183,tasiilaq,65.6145,-37.6368,-10.55,81,100,4.94,GL,1675102785
184,machala,-3.2667,-79.9667,31.97,51,20,6.17,EC,1675102786
185,cockburn town,21.4612,-71.1419,25.25,69,1,9.18,TC,1675102560
186,kutum,14.2,24.6667,25.17,12,72,4.34,SD,1675102787
187,richmond,37.5538,-77.4603,13.99,65,75,1.54,US,1675102530
188,padang,-0.9492,100.3543,25.03,87,100,1.58,ID,1675102787
189,kaoma,-14.7833,24.8,18.85,85,94,1.23,ZM,1675102788
190,rizhao,35.4275,119.4553,2.24,59,1,2.03,CN,1675102788
191,hithadhoo,-0.6,73.0833,27.31,76,100,6.4,MV,1675102509
192,rockland,41.1668,-74.0496,12.33,64,77,0.45,US,1675102789
193,coquimbo,-29.9533,-71.3436,21.85,60,20,5.66,CL,1675102466
194,townsville,-19.25,146.8,26.49,78,40,3.09,AU,1675102790
195,izhma,65.0083,53.9113,-9.37,93,100,4.36,RU,1675102790
196,coihaique,-45.5752,-72.0662,19.34,32,20,4.12,CL,1675102702
197,rio bueno,-40.3167,-72.9667,21.73,53,98,2.45,CL,1675102791
198,ko samui,9.5357,99.9357,25.63,75,39,5.79,TH,1675102792
199,cidreira,-30.1811,-50.2056,26.2,70,1,5.32,BR,1675102792
200,duvan,55.695,57.9024,-7.31,89,100,5.49,RU,1675102793
201,hovd,48.0056,91.6419,-17.02,71,0,1.29,MN,1675102793
202,bonao,18.9369,-70.4092,26.95,62,74,2.39,DO,1675102794
203,tomatlan,19.9333,-105.25,31.39,33,0,2.8,MX,1675102794
